Deal_Id,ProviderDeal_ID,Full_Title,Short_Title,Full_Desc,Short_Desc,all_details,Outlets,PostalCodes,DealSite_URL,DealImage_URL,HighlightImage_URL,Start_Date,End_Date,Merchant_ID,ProviderMerchant_ID,Merchant_Name,Merchant_Image_URL,MerchantWebsite_URL,Card_Type,Terms_and_Conditions,CardImages_URL,isFeatured,homeFeatured,isOnlineMerchant,category,subCategory,keywords,bookmark
212_126921,212,Bread Street Kitchen by Gordon Ramsey,Bread Street Kitchen by Gordon Ramsey,"10% off total bill with minimum spend of SGD200","10% off total bill with minimum spend of SGD200",0,"Addr: 10 Bayfront Avenue, The Shoppes at Marina Bay Sands, Bay Level, L1-81; Postal: 018956; Coord: 1.282275, 103.858322",None,http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://www.citiworldprivileges.com/data/images/offer_details/desktop/offer_merc_image_126921.jpg,0,0,2016-06-01 T23:59:59,CITI_126921,212_CITI_126921,Bread Street Kitchen by Gordon Ramsey,0,0,All,"- Not valid on eve of Public Holidays and Public Holidays.
- Offer valid when payment is made with Citibank Credit or Debit Card.
- Not valid on special menu days with other offers and promotions unless otherwise stated.
- *ULTIMA and Prestige Cardmembers must inform the restaurant at the Time of Booking if they will be paying by Citibank ULTIMA or Prestige cards.
- Marina Bay Sands reserves the right to make changes and modifications to the promotion with prior notice.
- Valid for dine-in only.
- General terms and conditions apply.",0,0,0,0,Dining,Not available,0,0
212_122547,212,"Cafe 2000, M Hotel","Cafe 2000, M Hotel","15% off food bill for lunch (Monday to Thursday)","15% off food bill for lunch (Monday to Thursday)",0,"Addr: 81 Anson Road; Postal: 079908; Coord: 1.273935, 103.845123",None,http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://www.citiworldprivileges.com/data/images/offer_details/desktop/offer_merc_image_122547.jpg,0,0,2015-12-31 T23:59:59,CITI_122547,212_CITI_122547,"Cafe 2000, M Hotel",0,0,All,"- Not valid for functions, banquets or catering functions. 
- Not valid with other promotions, discount cards, promotional vouchers and in-house offer discount cards.",0,0,0,0,Dining,Not available,0,0
212_122531,212,"Cafe Brio's, Grand Copthorne Waterfront","Cafe Brio's, Grand Copthorne Waterfront",15% off total food bill,15% off total food bill,0,"Addr: 392 Havelock Road; Postal: 169663; Coord: 1.290300, 103.835175",None,http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://www.citiworldprivileges.com/data/images/offer_details/desktop/offer_merc_image_122531.jpg,0,0,2015-12-31 T23:59:59,CITI_122531,212_CITI_122531,"Cafe Brio's, Grand Copthorne Waterfront",0,0,All,"- Not valid for functions, banquets or catering functions. 
- Not valid with other promotions, discount cards, promotional vouchers and in-house offer discount cards.",0,0,0,0,Dining,Not available,0,0
212_120877,212,"Cafe Mosaic, Carlton Hotel Singapore","Cafe Mosaic, Carlton Hotel Singapore",15% off total bill,15% off total bill,0,"Addr: 76 Bras Basah Road; Postal: 189558; Coord: 1.295621, 103.852707",None,http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://www.citiworldprivileges.com/data/images/offer_details/desktop/offer_merc_image_120877.jpg,0,0,2015-12-31 T23:59:59,CITI_120877,212_CITI_120877,"Cafe Mosaic, Carlton Hotel Singapore",0,0,All,"- Up to a maximum of 12 guests per table per bill. Strictly no splitting of bill.
- Offer is not valid on all festive meal periods, eve of and on Public Holidays, unless otherwise stated.
- Offer cannot be used in conjunction with other promotions, discounts, vouchers, loyalty program or privileges.",0,0,0,0,Dining,Not available,0,0
212_126911,212,Canvas,Canvas,"15% off with a minimum spend of SGD100* ","15% off with a minimum spend of SGD100* ",0,"Addr: 20 Upper Circular Road, #B1-01/16 The Riverwalk; Postal: 058416; Coord: 1.288931, 103.848122",None,http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://www.citiworldprivileges.com/data/images/offer_details/desktop/offer_merc_image_126911.jpg,0,0,2016-06-30 T23:59:59,CITI_126911,212_CITI_126911,Canvas,0,0,All,"- *Not valid for Happy Hour and promotional items.
- ^Not valid for promotional bottles.
- General terms and conditions apply.",0,0,0,0,Dining,Not available,0,0
212_120889,212,"Cassia, Capella Singapore","Cassia, Capella Singapore","Citibank ULTIMA Card","Citibank ULTIMA Card",0,"Addr: 1 The Knolls, Sentosa; Postal: 098297; Coord: 1.322938, 103.917336",None,http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://www.citiworldprivileges.com/data/images/offer_details/desktop/offer_merc_image_120889.jpg,0,0,2015-12-31 T23:59:59,CITI_120889,212_CITI_120889,"Cassia, Capella Singapore",0,0,All,"- Valid for dine-in only. 
- Not applicable for set menus, Sunday Brunch and special events. 
- Not valid on eve of and on Public Holidays, including 15 days of Chinese New Year and blackout dates. 
- General terms and conditions apply.",0,0,0,0,Dining,Not available,0,0
212_92749,212,CHANG Korean BBQ Restaurant (Dempsey),CHANG Korean BBQ Restaurant (Dempsey),10% off on the food bill and complimentary Homemade Korean...,10% off on the food bill and complimentary Homemade Korean...,0,"Addr: Blk 18C Dempsey Road Tanglin Village; Postal: 249677; Coord: 1.305838, 103.810829",None,http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://www.citiworldprivileges.com/data/images/offer_details/desktop/,0,0,2015-12-31 T23:59:59,CITI_92749,212_CITI_92749,CHANG Korean BBQ Restaurant (Dempsey),0,0,All,Valid from Monday to Friday (Lunch) & Monday to Thursday (Dinner) only.,0,0,0,0,Dining,Not available,0,0
212_103571,212,Citadines Mount Sophia,Citadines Mount Sophia,5% off best flexible rates,5% off best flexible rates,0,"Addr: 8 Wilkie Road, #01-26 Wilkie Edge; Postal: 228095; Coord: 1.302122, 103.849510",None,http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://www.citiworldprivileges.com/data/images/offer_details/desktop/citadines-mount-sophia.jpg,0,0,2015-12-31 T23:59:59,CITI_103571,212_CITI_103571,Citadines Mount Sophia,0,0,All,General terms and conditions apply.,0,0,0,0,Travel,Not available,0,0
212_122529,212,"Connections Lounge, Copthorne King's Hotel","Connections Lounge, Copthorne King's Hotel",15% off drinks after happy hour,15% off drinks after happy hour,0,"Addr: 403 Havelock Road; Postal: 169632; Coord: 1.288404, 103.836319",None,http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://www.citiworldprivileges.com/data/images/offer_details/desktop/offer_merc_image_122529.jpg,0,0,2015-12-31 T23:59:59,CITI_122529,212_CITI_122529,"Connections Lounge, Copthorne King's Hotel",0,0,All,"- Valid from Monday to Sunday. 
- Not valid for functions, banquets or catering functions. 
- Not valid with other promotions, discount cards, promotional vouchers and in-house offer discount cards.",0,0,0,0,Dining,Not available,0,0
212_126923,212,CUT by Wolfgang Puck,CUT by Wolfgang Puck,"10% off total bill with minimum spend of SGD300","10% off total bill with minimum spend of SGD300",0,"Addr: 10 Bayfront Avenue, The Shoppes at Marina Bay Sands, Galleria Level, B1-71; Postal: 018956; Coord: 1.282275, 103.858322",None,http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://www.citiworldprivileges.com/data/images/offer_details/desktop/offer_merc_image_126923.jpg,0,0,2016-06-01 T23:59:59,CITI_126923,212_CITI_126923,CUT by Wolfgang Puck,0,0,All,"- Not valid on eve of Public Holidays and Public Holidays.
- Offer valid when payment is made with Citibank Credit or Debit Card.
- Not valid on special menu days with other offers and promotions unless otherwise stated.
- *ULTIMA and Prestige Cardmembers must inform the restaurant at the Time of Booking if they will be paying by Citibank ULTIMA or Prestige cards.
- Marina Bay Sands reserves the right to make changes and modifications to the promotion with prior notice.
- Valid for dine-in only.
- General terms and conditions apply.",0,0,0,0,Dining,Not available,0,0
